"chromosome","start","stop","CPCT02010474T","CPCT02010666T","CPCT02020293T","CPCT02020695T","CPCT02040091T","CPCT02040102T","CPCT02040188T","CPCT02040226T","CPCT02040264T","CPCT02050184T","CPCT02060259T","CPCT02070232T","CPCT02080084T","CPCT02160038T","CPCT02190007T","CPCT02210007T","CPCT02210064T","CPCT02220009T","CPCT02330036T","CPCT02330043T","CPCT02330055T","CPCT02380015T","CPCT02380016T","DRUP01010049T","DRUP01050025T","DRUP01050031T","DRUP01330008T"
"3",87000001,88000000,"2.93590000","1.98400000","1.94296715","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.99390000"," 4.87040000","2.97410000"," 4.02880000"," 3.98340000","2.99690000","1.89890000"," 2.00610000"," 2.00600000","3.98890000"," 5.01830000"," 2.298600000","2.00890000","1.94040000"," 3.60310000"," 2.060700000"," 5.47850000"," 5.38590000"," 1.959600000"
"3",88000001,89000000,"2.93590000","1.98400000","1.96960000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.99390000"," 4.87040000","2.97410000"," 4.02880000"," 3.98340000","2.99690000","1.89890000"," 2.00610000"," 2.00600000","3.98890000"," 5.01830000"," 2.298600000","2.00890000","2.62726328"," 3.60961445"," 2.060700000"," 5.46376185"," 5.36272925"," 1.959600000"
"3",89000001,90000000,"2.93156162","1.98400000","1.96960000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.99390000"," 4.87040000","2.97410000"," 4.02880000"," 3.98340000","2.99690000","1.89890000"," 2.00610000"," 2.00600000","3.98890000"," 5.01830000"," 2.298600000","2.00890000","2.87480000"," 3.58340000"," 2.060700000"," 5.36810000"," 5.25240000"," 1.962310513"
"3",90000001,91000000,"2.94230000","1.98400000","1.96960000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.99390000"," 4.87040000","2.97410000"," 4.02880000"," 3.98340000","2.99690000","1.89890000"," 2.00610000"," 2.00600000","3.98890000"," 5.01830000"," 2.298600000","2.00890000","2.87480000"," 3.58340000"," 2.060700000"," 5.36810000"," 5.25240000"," 2.057223824"
"3",91000001,92000000,"2.94230000","1.98400000","1.96960000","1.97800000","1.99910000"," 5.29700000","3.92860000"," 2.95510000","3.99390000"," 4.87040000","2.97410000"," 4.02880000"," 3.98340000","2.99690000","1.89890000"," 2.00610000"," 2.00600000","3.98890000"," 5.01830000"," 2.298600000","2.00890000","2.87480000"," 3.58340000"," 2.060700000"," 5.36810000"," 5.25240000"," 2.088800000"
"3",92000001,93000000,"2.98468733","2.00011740","1.00947920","1.99750091","1.99292610"," 5.32833651","3.98481789"," 2.94255525","4.02762746"," 5.03488789","2.99568872"," 4.06700555"," 4.06350129","2.96703963","1.91680883"," 2.02709357"," 2.01037463","3.99496241"," 5.02983366"," 2.132306506","2.01486686","2.99749575"," 3.88721091"," 2.075424039"," 5.50442427"," 5.37807643"," 1.996645303"
"3",93000001,94000000,"2.98490000","2.00020000","1.30042756","1.99760000","1.99290000"," 5.32850000","3.98510000"," 2.94250000","4.02780000"," 5.03570000","2.99580000"," 4.06720000"," 4.06390000","2.96690000","1.91690000"," 2.02720000"," 2.01040000","3.99500000"," 5.02990000"," 2.131202905","2.01490000","2.99810000"," 3.88870000"," 2.075500000"," 5.50510000"," 5.37870000"," 1.996200000"
"3",94000001,95000000,"2.98490000","2.00020000","1.98530000","1.99760000","1.99290000"," 5.32850000","3.98510000"," 2.94250000","4.02780000"," 5.03570000","2.99580000"," 4.06720000"," 4.06390000","2.96690000","1.91690000"," 2.02720000"," 2.01040000","3.99500000"," 5.02990000"," 2.128700000","2.01490000","2.99810000"," 3.88870000"," 2.075500000"," 5.56064051"," 5.40607093"," 1.996200000"
"3",95000001,96000000,"2.98490000","2.00020000","1.98530000","1.99760000","1.99290000"," 5.32850000","3.98510000"," 2.94250000","4.02780000"," 5.03570000","2.99580000"," 4.06720000"," 4.06390000","2.96690000","1.91690000"," 2.02720000"," 2.01040000","3.99500000"," 5.02990000"," 2.179867263","2.01490000","2.99810000"," 3.88870000"," 2.075500000"," 5.69970000"," 5.50210000"," 2.305251987"
"3",96000001,97000000,"2.98490000","2.00020000","1.98530000","1.99760000","1.99290000"," 5.32850000","3.98510000"," 2.94250000","4.02780000"," 5.03570000","2.99580000"," 4.06720000"," 4.06390000","2.96690000","1.91690000"," 2.02720000"," 2.01040000","3.99500000"," 5.06456876"," 2.194800000","2.01490000","2.99810000"," 3.88870000"," 2.075500000"," 5.69970000"," 5.50210000"," 2.330082185"
"3",97000001,98000000,"2.98490000","2.00020000","1.98530000","1.99760000","1.99290000"," 5.32850000","3.98510000"," 2.94250000","4.02780000"," 5.03570000","2.99580000"," 4.06720000"," 4.06390000","2.96690000","1.91690000"," 2.02720000"," 2.01040000","3.99500000"," 5.08720000"," 2.194800000","2.01490000","2.99810000"," 3.88870000"," 2.075500000"," 5.69970000"," 5.50210000"," 2.009700000"
